,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
758,100,Herr,CAN,2,1,1,0.17,50.00,4,2023
759,100,Łomacz,POL,2,0,0,0.13,100.00,2,2023
760,100,Sawicki,POL,2,2,3,0.50,28.57,7,2023
761,100,Firlej,POL,2,0,1,0.25,66.67,3,2023
762,100,Korenblek,NED,2,0,0,0.17,100.00,2,2023
763,100,Kampa,GER,2,0,0,0.25,100.00,2,2023
764,100,S.Ivanov,BUL,2,4,4,0.50,20.00,10,2023
765,100,Larry,JPN,2,1,2,0.40,40.00,5,2023
766,100,Leal,BRA,2,0,2,2.00,50.00,4,2023
767,101,Zelayeta,ARG,1,0,0,0.08,100.00,1,2023
768,101,Schnitzer,CAN,1,0,1,0.25,50.00,2,2023
769,101,Thondike,CUB,1,2,8,0.08,9.09,11,2023
770,101,Pothron,FRA,1,2,0,0.12,33.33,3,2023
771,101,Henno,FRA,1,0,1,0.25,50.00,2,2023
772,101,Fernando,BRA,1,0,2,0.08,33.33,3,2023
773,101,Tille,GER,1,2,1,0.08,25.00,4,2023
774,101,Tuaniga,USA,1,0,1,0.25,50.00,2,2023
775,101,Mujanović,SLO,1,0,0,0.11,100.00,1,2023
776,101,Kovačević,SRB,1,7,3,0.25,9.09,11,2023
777,101,A. Ramezani,IRI,1,0,1,0.25,50.00,2,2023
778,101,A. Afshinfar,IRI,1,2,2,0.25,20.00,5,2023
779,102,G. Bratoev,BUL,0,0,0,,,0,2023
780,102,Bozhilov,BUL,0,0,0,,,0,2023
781,102,Dobrev,BUL,0,0,0,,,0,2023
782,102,Guo C.,CHN,0,0,1,0.00,0.00,1,2023
783,102,Liu M.,CHN,0,0,0,,,0,2023
784,102,Chen J.J.,CHN,0,0,0,,,0,2023
785,102,Qu Z.S.,CHN,0,0,0,,,0,2023
786,102,Fukatsu,JPN,0,0,1,0.00,0.00,1,2023
787,102,Ogawa,JPN,0,0,0,,,0,2023
788,102,Yamamoto,JPN,0,0,0,,,0,2023
789,102,Kai,JPN,0,0,0,,,0,2023
790,102,Hazrat,IRI,0,0,0,,,0,2023
791,102,Arman,IRI,0,0,0,,,0,2023
792,102,Falaschi,ITA,0,0,0,,,0,2023
793,102,Balaso,ITA,0,0,0,,,0,2023
794,102,Gardini,ITA,0,0,0,,,0,2023
795,102,Vitelli,ITA,0,1,3,0.00,0.00,4,2023
796,102,Federici,ITA,0,0,0,,,0,2023
797,102,Sanchez Pages,ARG,0,0,1,0.00,0.00,1,2023
798,102,Danani,ARG,0,0,0,,,0,2023
799,102,Blankenau,CAN,0,0,1,0.00,0.00,1,2023
800,102,Lui,CAN,0,0,0,,,0,2023
801,102,Currie,CAN,0,0,0,,,0,2023
802,102,Roman Garcia,CUB,0,0,0,,,0,2023
803,102,Goide,CUB,0,0,0,,,0,2023
804,102,J. Gutierrez,CUB,0,1,1,0.00,0.00,2,2023
805,102,Gorguet,CUB,0,0,0,,,0,2023
806,102,Planinšič,SLO,0,0,2,0.00,0.00,2,2023
807,102,Toman,SLO,0,0,0,,,0,2023
808,102,Bračko,SLO,0,0,0,,,0,2023
809,102,Koncilja,SLO,0,0,0,,,0,2023
810,102,Kovačič,SLO,0,0,0,,,0,2023
811,102,Kapur,SRB,0,0,0,,,0,2023
812,102,Mašulović V.,SRB,0,0,2,0.00,0.00,2,2023
813,102,Batak,SRB,0,0,1,0.00,0.00,1,2023
814,102,Gajović,SRB,0,0,0,,,0,2023
815,102,Krsteski,SRB,0,0,0,,,0,2023
816,102,Petrović,SRB,0,1,0,0.00,0.00,1,2023
817,102,Szymura,POL,0,0,0,,,0,2023
818,102,Hawryluk,POL,0,0,0,,,0,2023
819,102,Poręba,POL,0,0,0,,,0,2023
820,102,Motta Paes,FRA,0,0,0,,,0,2023
821,102,Henry,FRA,0,0,0,,,0,2023
822,102,Diez,FRA,0,0,0,,,0,2023
823,102,Basic,FRA,0,0,0,,,0,2023
824,102,Loubeyre,FRA,0,0,0,,,0,2023
825,102,Roehrig,FRA,0,0,0,,,0,2023
826,102,E. Shoji,USA,0,0,0,,,0,2023
827,102,Van Der Ent,NED,0,0,0,,,0,2023
828,102,Meijs,NED,0,1,2,0.00,0.00,3,2023
829,102,Andringa,NED,0,0,0,,,0,2023
830,102,Bak,NED,0,0,0,,,0,2023
831,102,Wijkstra,NED,0,1,1,0.00,0.00,2,2023
832,102,Lipke,NED,0,0,0,,,0,2023
833,102,Maique,BRA,0,0,0,,,0,2023
834,102,Thales,BRA,0,0,0,,,0,2023
835,102,Thiery,BRA,0,0,0,,,0,2023
836,102,Graven,GER,0,0,0,,,0,2023
837,102,Walsh,CAN,0,0,0,,,0,2023
838,102,Salehi,IRI,0,1,1,0.00,0.00,2,2023
839,102,Zimmermann,GER,0,0,0,,,0,2023
840,102,Günthör,GER,0,0,0,,,0,2023
841,102,Dagostino,USA,0,0,0,,,0,2023
842,102,Giraudo,ARG,0,1,0,0.00,0.00,1,2023
843,102,Yang Y.M.,CHN,0,0,0,,,0,2023
844,102,Chen L.Y.,CHN,0,0,0,,,0,2023
845,102,Salparov,BUL,0,0,0,,,0,2023
846,102,Raev,BUL,0,0,0,,,0,2023
847,102,Sbertoli,ITA,0,0,0,,,0,2023
848,102,Scanferla,ITA,0,0,0,,,0,2023
849,102,Caneschi,ITA,0,0,0,,,0,2023
850,102,Magalini,ITA,0,0,1,0.00,0.00,1,2023
851,102,Zatorski,POL,0,0,0,,,0,2023
852,102,Grebennikov,FRA,0,0,0,,,0,2023
853,102,Huetz,FRA,0,0,0,,,0,2023
854,102,Vaccari,BRA,0,0,1,0.00,0.00,1,2023
855,102,Piccinelli,ITA,0,0,0,,,0,2023
856,102,Sala,ITA,0,0,1,0.00,0.00,1,2023
857,102,Eiro,JPN,0,0,0,,,0,2023
858,102,Rao S.H.,CHN,0,0,0,,,0,2023
859,102,Podraščanin,SRB,0,0,0,,,0,2023
860,102,M.R.Moazzen,IRI,0,0,0,,,0,2023
861,102,Popiwczak,POL,0,0,0,,,0,2023
862,102,Janusz,POL,0,0,2,0.00,0.00,2,2023
863,102,K. Russell,USA,0,0,0,,,0,2023
864,102,Daneshdoust,IRI,0,0,0,,,0,2023
865,1,T. Štern,SLO,265,68,153,17.67,54.53,486,2024
866,2,Nimir,NED,235,81,138,19.58,51.76,454,2024
867,3,Maar,CAN,194,59,150,14.92,48.14,403,2024
868,4,Čebulj,SLO,179,63,149,11.93,45.78,391,2024
869,5,Yant,CUB,167,49,98,13.92,53.18,314,2024
870,5,Amin,IRI,167,49,121,13.92,49.55,337,2024
871,6,Patry,FRA,164,41,123,10.93,50.00,328,2024
872,7,Loeppky,CAN,157,37,145,12.08,46.31,339,2024
873,8,Nishida,JPN,156,41,88,10.40,54.74,285,2024
874,9,Ishikawa,JPN,155,49,96,14.09,51.67,300,2024
875,10,Lima B.,ARG,154,60,90,11.85,50.66,304,2024
876,10,Lopez,CUB,154,54,94,12.83,50.99,302,2024
877,11,Van Garderen,NED,146,54,125,12.17,44.92,325,2024
878,12,Clevenot,FRA,142,29,93,10.14,53.79,264,2024
879,13,Darlan,BRA,141,52,89,10.85,50.00,282,2024
880,14,Luburić,SRB,139,37,74,11.58,55.60,250,2024
881,15,Mandıracı,TUR,133,34,119,12.09,46.50,286,2024
882,15,Urnaut,SLO,133,57,133,8.87,41.18,323,2024
883,16,Szwarc,CAN,129,43,80,9.92,51.19,252,2024
884,17,Louati,FRA,124,47,91,8.27,47.33,262,2024
885,18,Palonsky,ARG,121,34,114,9.31,44.98,269,2024
886,19,Lucarelli,BRA,114,30,83,10.36,50.22,227,2024
887,20,Faure,FRA,109,21,69,7.27,54.77,199,2024
888,20,Leal,BRA,109,28,74,9.91,51.66,211,2024
889,21,Brand,GER,107,33,89,8.92,46.72,229,2024
890,22,Conte,ARG,101,28,82,7.77,47.87,211,2024
891,23,Karlitzek,GER,98,36,74,12.25,47.12,208,2024
892,24,Concepcion,CUB,96,15,40,8.00,63.58,151,2024
893,24,Defalco,USA,96,29,56,12.00,53.04,181,2024
894,25,A. Lagumdzija,TUR,94,46,82,7.83,42.34,222,2024
895,25,Michieletto,ITA,94,21,82,11.75,47.72,197,2024
896,26,Gürbüz,TUR,93,31,86,7.75,44.29,210,2024
897,26,Sánchez B.,CUB,93,30,69,7.75,48.44,192,2024
898,27,Milad,IRI,92,46,101,7.67,38.49,239,2024
899,28,Tatarov,BUL,88,36,96,7.33,40.00,220,2024
900,29,Miyaura,JPN,87,42,80,5.80,41.63,209,2024
901,30,Romanò,ITA,86,28,59,10.75,49.71,173,2024
902,31,Ivović,SRB,85,38,50,7.08,49.13,173,2024
903,32,Dimitrov,BUL,83,41,64,6.92,44.15,188,2024
904,33,Alan,BRA,81,28,68,6.23,45.76,177,2024
905,34,Reichert,GER,78,21,67,9.75,46.99,166,2024
906,35,Pajenk,SLO,77,10,36,5.50,62.60,123,2024
907,36,Loser Bruno,ARG,75,15,42,5.77,56.82,132,2024
908,37,Asparuhov,BUL,74,37,88,6.17,37.19,199,2024
909,37,Poriya,IRI,74,25,50,6.17,49.66,149,2024
910,37,Kurek,POL,74,22,50,7.40,50.68,146,2024
911,38,Kozamernik,SLO,73,18,32,4.87,59.35,123,2024
912,39,Otsuka,JPN,70,28,79,5.38,39.55,177,2024
913,39,Anderson,USA,70,18,97,8.75,37.84,185,2024
914,40,Lavia,ITA,69,17,71,8.62,43.95,157,2024
915,40,Kujundžić,SRB,69,17,46,5.75,52.27,132,2024
916,41,Parkinson,NED,66,7,31,5.50,63.46,104,2024
917,42,Bovolenta,ITA,65,22,44,5.00,49.62,131,2024
918,42,Salehi,IRI,65,20,43,5.91,50.78,128,2024
919,43,Bołądź,POL,63,17,27,6.30,58.88,107,2024
920,43,Maase,GER,63,19,37,5.25,52.94,119,2024
921,43,Leon,POL,63,7,35,9.00,60.00,105,2024
922,44,Zerba,ARG,62,9,44,4.77,53.91,115,2024
923,45,Tillie,FRA,61,23,60,4.07,42.36,144,2024
924,45,Bednorz,POL,61,15,29,4.36,58.10,105,2024
925,45,Porro L.,ITA,61,15,45,4.69,50.41,121,2024
926,46,Semeniuk,POL,60,17,49,4.29,47.62,126,2024
927,47,Le Goff,FRA,59,13,35,3.93,55.14,107,2024
928,47,Lucas,BRA,59,14,32,5.36,56.19,105,2024
929,47,Śliwka,POL,59,12,49,4.21,49.17,120,2024
930,47,Morteza,IRI,59,28,33,5.36,49.17,120,2024
931,47,Atanasijević,SRB,59,25,31,4.92,51.30,115,2024
932,47,Fornal,POL,59,16,37,5.36,52.68,112,2024
933,48,Grozdanov,BUL,58,16,36,4.83,52.73,110,2024
934,48,Petkov,BUL,58,13,27,4.83,59.18,98,2024
935,48,Simón,CUB,58,10,16,4.83,69.05,84,2024
936,49,Onodera,JPN,57,10,29,3.80,59.38,96,2024
937,49,Flavio,BRA,57,7,26,4.75,63.33,90,2024
938,50,McCarthy,CAN,56,11,24,4.31,61.54,91,2024
939,50,Kai,JPN,56,27,47,3.73,43.08,130,2024
940,51,Perić,SRB,54,17,54,4.50,43.20,125,2024
941,52,Kovačević,SRB,53,33,36,4.42,43.44,122,2024
942,52,Ran,JPN,53,14,41,10.60,49.07,108,2024
943,53,Bayram,TUR,52,21,55,4.33,40.62,128,2024
944,53,Hanes,USA,52,13,30,7.43,54.74,95,2024
945,53,Ewert,USA,52,22,60,6.50,38.81,134,2024
946,53,Kochanowski,POL,52,5,19,3.47,68.42,76,2024
947,53,Bottolo,ITA,52,16,31,10.40,52.53,99,2024
948,54,Seddik,FRA,49,11,26,3.27,56.98,86,2024
949,55,Yamauchi,JPN,48,9,31,3.20,54.55,88,2024
950,55,Nedeljković,SRB,48,7,24,4.00,60.76,79,2024
951,56,Van Berkel,CAN,46,2,20,3.54,67.65,68,2024
952,56,Huber,POL,46,5,17,4.18,67.65,68,2024
953,57,Bedirhan,TUR,45,7,30,3.75,54.88,82,2024
954,57,Vicentin,ARG,45,24,56,3.46,36.00,125,2024
955,57,Adriano,BRA,45,15,31,3.75,49.45,91,2024
956,57,Mohammad,IRI,45,13,34,3.75,48.91,92,2024
957,58,M. Lagumdzija,TUR,44,24,62,3.67,33.85,130,2024
958,59,Grozer,GER,43,21,37,5.38,42.57,101,2024
959,60,Karyagin,BUL,42,28,38,3.50,38.89,108,2024
960,61,Masso,CUB,40,12,23,3.33,53.33,75,2024
961,62,Galassi,ITA,38,2,20,4.75,63.33,60,2024
962,62,Jaeschke,USA,38,6,29,9.50,52.05,73,2024
963,63,Kukartsev,ARG,37,8,26,2.85,52.11,71,2024
964,63,Russo,ITA,37,7,16,4.62,61.67,60,2024
965,64,Wassenaar Ketrzynski,CAN,35,12,27,2.69,47.30,74,2024
966,64,Holt,USA,35,5,21,5.00,57.38,61,2024
967,65,John,GER,34,11,25,8.50,48.57,70,2024
968,65,Krsmanović,SRB,34,4,14,2.83,65.38,52,2024
969,65,Krick,GER,34,3,17,4.25,62.96,54,2024
970,66,Kentaro,JPN,33,3,20,2.36,58.93,56,2024
971,66,Krage,GER,33,4,11,2.75,68.75,48,2024
972,67,Averill,USA,31,2,17,3.88,62.00,50,2024
973,67,Antov,BUL,31,5,16,7.75,59.62,52,2024
974,67,Bieniek,POL,31,0,18,5.17,63.27,49,2024
975,68,Ter Horst,NED,30,8,31,7.50,43.48,69,2024
976,68,Moslehabadi,IRI,30,9,10,2.73,61.22,49,2024
977,69,Matić,TUR,29,2,11,2.42,69.05,42,2024
978,70,Plak,NED,28,14,18,2.33,46.67,60,2024
979,71,Tomita,JPN,27,18,39,2.08,32.14,84,2024
980,72,S. Nikolov,BUL,26,11,22,2.17,44.07,59,2024
981,72,Podraščanin,SRB,26,8,21,2.17,47.27,55,2024
982,72,Carle,FRA,26,12,21,2.00,44.07,59,2024
983,73,Ter Maat,NED,25,16,26,2.08,37.31,67,2024
984,73,Fromm,GER,25,12,26,2.08,39.68,63,2024
985,73,Böhme,GER,25,16,24,3.12,38.46,65,2024
986,73,L. Bergmann,BRA,25,2,16,2.78,58.14,43,2024
987,73,Kaczmarek,POL,25,15,34,3.12,33.78,74,2024
988,73,Russell,USA,25,8,19,6.25,48.08,52,2024
989,73,Mosca,ITA,25,8,4,5.00,67.57,37,2024
990,74,Brehme,GER,24,10,14,6.00,50.00,48,2024
991,74,Schott,GER,24,12,42,3.00,30.77,78,2024
992,75,Ramos,ARG,23,2,5,1.77,76.67,30,2024
993,75,Mergarejo,CUB,23,6,26,1.92,41.82,55,2024
994,75,Isac,BRA,23,3,14,2.09,57.50,40,2024
995,75,Sanguinetti,ITA,23,1,6,1.77,76.67,30,2024
996,75,Jelveh,IRI,23,3,13,1.92,58.97,39,2024
997,75,Jorna,NED,23,13,46,2.88,28.05,82,2024
998,76,Eshenko,CAN,21,3,10,1.75,61.76,34,2024
999,76,Poręba,POL,21,2,8,2.62,67.74,31,2024
1000,76,Giannelli,ITA,21,0,15,2.62,58.33,36,2024
1001,76,Jendryk,USA,21,2,26,2.62,42.86,49,2024
1002,76,Ensing,USA,21,10,23,2.62,38.89,54,2024
1003,77,Güneş,TUR,20,5,9,1.67,58.82,34,2024
1004,77,Knigge,USA,20,7,13,4.00,50.00,40,2024
1005,78,Bultor,FRA,19,3,9,1.58,61.29,31,2024
1006,78,Mauricio,BRA,19,6,17,1.58,45.24,42,2024
1007,79,Ngapeth,FRA,18,9,16,3.00,41.86,43,2024
1008,79,Demyanenko,CAN,18,3,11,1.38,56.25,32,2024
1009,79,Szalpuk,POL,18,2,12,4.50,56.25,32,2024
1010,79,Mašulović N.,SRB,18,4,13,1.50,51.43,35,2024
1011,79,Muagututia,USA,18,11,27,2.25,32.14,56,2024
1012,79,Gironi,ITA,18,4,9,3.60,58.06,31,2024
1013,80,Martinez Franchi,ARG,17,5,24,1.31,36.96,46,2024
1014,80,Gasman,USA,17,5,10,4.25,53.12,32,2024
1015,80,Kessel,USA,17,6,27,2.83,34.00,50,2024
1016,81,Garcia,USA,16,6,18,4.00,40.00,40,2024
1017,81,Butryn,POL,16,9,9,4.00,47.06,34,2024
1018,81,Anzani,ITA,16,0,8,2.00,66.67,24,2024
1019,82,Palacios,ARG,15,5,19,1.15,38.46,39,2024
1020,82,Larry,JPN,15,2,6,1.00,65.22,23,2024
1021,83,Štalekar,SLO,14,1,5,0.93,70.00,20,2024
1022,83,Jouffroy,FRA,14,2,11,1.08,51.85,27,2024
1023,84,Chinenyeze,FRA,13,3,7,6.50,56.52,23,2024
1024,84,Judson,BRA,13,4,8,1.86,52.00,25,2024
1025,84,Kłos,POL,13,2,6,2.17,61.90,21,2024
1026,85,Hoag,CAN,12,2,16,0.92,40.00,30,2024
1027,85,Thondike,CUB,12,4,20,1.00,33.33,36,2024
1028,85,Recine,ITA,12,5,14,0.92,38.71,31,2024
1029,85,Barbast,IRI,12,6,14,1.09,37.50,32,2024
1030,85,Ahyi,NED,12,3,7,1.50,54.55,22,2024
1031,86,De Cecco,ARG,11,1,12,0.85,45.83,24,2024
1032,86,Bračko,SLO,11,3,8,0.73,50.00,22,2024
1033,86,Champlin,USA,11,6,19,2.75,30.56,36,2024
1034,87,Valchinov,BUL,10,8,15,0.91,30.30,33,2024
1035,87,Koops,NED,10,8,14,0.83,31.25,32,2024
1036,88,Brizard,FRA,9,2,5,0.60,56.25,16,2024
1037,88,Smith,USA,9,5,4,1.29,50.00,18,2024
1038,89,Savaş,TUR,8,2,11,0.73,38.10,21,2024
1039,89,Subaşı,TUR,8,6,6,2.67,40.00,20,2024
1040,89,Vadi,IRI,8,1,14,0.67,34.78,23,2024
1041,89,Christenson,USA,8,2,9,1.00,42.11,19,2024
1042,90,Možič,SLO,7,2,9,1.75,38.89,18,2024
1043,91,Kolev,BUL,6,1,0,1.50,85.71,7,2024
1044,91,Garkov,BUL,6,6,3,0.75,40.00,15,2024
1045,91,Yenipazar,TUR,6,4,6,0.50,37.50,16,2024
1046,91,Wiltenburg,NED,6,1,4,0.50,54.55,11,2024
1047,91,Ropret,SLO,6,1,7,0.40,42.86,14,2024
1048,91,Kaliberda,GER,6,5,15,0.75,23.08,26,2024
1049,91,Jovović,SRB,6,1,5,0.50,50.00,12,2024
1050,91,Aydin,TUR,6,4,6,0.60,37.50,16,2024
1051,92,Nachev,BUL,5,0,3,0.42,62.50,8,2024
1052,92,Keemink,NED,5,4,4,0.42,38.46,13,2024
1053,92,Van Der Ent,NED,5,3,1,0.42,55.56,9,2024
1054,92,Nasri,IRI,5,2,2,0.62,55.56,9,2024
1055,93,Ekşi,TUR,4,0,2,1.00,66.67,6,2024
1056,93,Marshman,USA,4,1,4,1.00,44.44,9,2024
1057,93,Adamczyk,POL,4,3,0,1.00,57.14,7,2024
1058,93,Jakubiszak,POL,4,2,3,1.00,44.44,9,2024
1059,94,Alonso,CUB,3,2,4,0.25,33.33,9,2024
1060,94,Kampa,GER,3,2,1,0.38,50.00,6,2024
1061,94,Caneschi,ITA,3,1,2,0.60,50.00,6,2024
1062,95,Isaacson,USA,2,0,1,0.50,66.67,3,2024
1063,95,Łomacz,POL,2,1,1,0.20,50.00,4,2024
1064,95,Peter,GER,2,1,0,0.50,66.67,3,2024
1065,95,Tille,GER,2,2,3,0.25,28.57,7,2024
1066,95,Petrov,BUL,2,2,2,0.67,33.33,6,2024
1067,95,Stankov,BUL,2,0,1,0.25,66.67,3,2024
1068,95,Esfandiar,IRI,2,1,3,0.50,33.33,6,2024
1069,96,Herr,CAN,1,0,1,0.08,50.00,2,2024
1070,96,Barnes,CAN,1,0,0,0.08,100.00,1,2024
1071,96,Gallego,ARG,1,2,2,0.08,20.00,5,2024
1072,96,Fukatsu,JPN,1,0,0,0.07,100.00,1,2024
1073,96,Takanashi,JPN,1,3,10,0.25,7.14,14,2024
1074,96,Sekita,JPN,1,0,3,0.07,25.00,4,2024
1075,96,Camino,CUB,1,2,0,0.12,33.33,3,2024
1076,96,Fernando,BRA,1,0,6,0.08,14.29,7,2024
1077,96,Z. Štern,SLO,1,1,2,0.07,25.00,4,2024
1078,96,Mujanović,SLO,1,4,2,0.07,14.29,7,2024
1079,96,Tuaniga,USA,1,0,2,0.25,33.33,3,2024
1080,96,Wildman,USA,1,0,0,0.25,100.00,1,2024
1081,96,Wetter,USA,1,0,2,0.25,33.33,3,2024
1082,96,Zimmermann,GER,1,0,3,0.14,25.00,4,2024
1083,96,Sbertoli,ITA,1,1,1,0.08,33.33,3,2024
1084,96,Janusz,POL,1,0,1,0.10,50.00,2,2024
1085,96,Firlej,POL,1,1,3,0.25,20.00,5,2024
1086,96,Arshia,IRI,1,1,1,0.25,33.33,3,2024
1087,97,Bozhilov,BUL,0,0,0,,,0,2024
1088,97,D. Kolev,BUL,0,0,0,,,0,2024
1089,97,Telkiyski,BUL,0,0,0,,,0,2024
1090,97,Grebennikov,FRA,0,0,0,,,0,2024
1091,97,Toniutti,FRA,0,0,8,0.00,0.00,8,2024
1092,97,Diez,FRA,0,0,0,,,0,2024
1093,97,Döne,TUR,0,0,0,,,0,2024
1094,97,Hatipoğlu,TUR,0,0,0,,,0,2024
1095,97,Walsh,CAN,0,1,0,0.00,0.00,1,2024
1096,97,Lui,CAN,0,0,0,,,0,2024
1097,97,Currie,CAN,0,0,0,,,0,2024
1098,97,Sanchez Pages,ARG,0,0,0,,,0,2024
1099,97,Danani,ARG,0,0,0,,,0,2024
1100,97,Ogawa,JPN,0,0,0,,,0,2024
1101,97,Yamamoto,JPN,0,0,0,,,0,2024
1102,97,Roman Garcia,CUB,0,0,0,,,0,2024
1103,97,Taboada,CUB,0,0,1,0.00,0.00,1,2024
1104,97,Gorguet,CUB,0,0,0,,,0,2024
1105,97,Charles,CUB,0,0,0,,,0,2024
1106,97,Bruno,BRA,0,0,3,0.00,0.00,3,2024
1107,97,Honorato,BRA,0,0,0,,,0,2024
1108,97,Thales,BRA,0,0,0,,,0,2024
1109,97,Arthur,BRA,0,0,0,,,0,2024
1110,97,Klok,NED,0,0,0,,,0,2024
1111,97,Andringa,NED,0,0,0,,,0,2024
1112,97,De Weijer,NED,0,0,0,,,0,2024
1113,97,Bak,NED,0,0,0,,,0,2024
1114,97,Toman,SLO,0,0,0,,,0,2024
1115,97,Vinčić,SLO,0,0,0,,,0,2024
1116,97,Kovačič,SLO,0,0,0,,,0,2024
1117,97,Kržič,SLO,0,0,0,,,0,2024
1118,97,Dagostino,USA,0,0,0,,,0,2024
1119,97,Briggs,USA,0,0,0,,,0,2024
1120,97,Komenda,POL,0,1,1,0.00,0.00,2,2024
1121,97,Hawryluk,POL,0,0,0,,,0,2024
1122,97,Szymura,POL,0,0,0,,,0,2024
1123,97,Graven,GER,0,0,0,,,0,2024
1124,97,Kunstmann,GER,0,0,0,,,0,2024
1125,97,Goralik,GER,0,0,2,0.00,0.00,2,2024
1126,97,Burggräf,GER,0,0,0,,,0,2024
1127,97,Balaso,ITA,0,0,0,,,0,2024
1128,97,Laurenzano,ITA,0,0,0,,,0,2024
1129,97,Hazrat,IRI,0,0,0,,,0,2024
1130,97,Javad,IRI,0,0,0,,,0,2024
1131,97,Arman,IRI,0,0,0,,,0,2024
1132,97,Kapur,SRB,0,0,0,,,0,2024
1133,97,Ristić,SRB,0,0,0,,,0,2024
1134,97,Todorović,SRB,0,0,2,0.00,0.00,2,2024
1135,97,Marovt,SLO,0,0,0,,,0,2024
1136,97,Popiwczak,POL,0,0,0,,,0,2024
1137,97,Kartev,BUL,0,0,0,,,0,2024
1138,97,Ma'a,USA,0,0,2,0.00,0.00,2,2024
1139,97,E. Shoji,USA,0,0,0,,,0,2024
1140,97,Hofer,CAN,0,1,0,0.00,0.00,1,2024
1141,97,Bostan,TUR,0,0,1,0.00,0.00,1,2024
1142,97,Meijs,NED,0,0,0,,,0,2024
1143,97,Matheus G.,BRA,0,0,0,,,0,2024
1144,97,Sadati,IRI,0,0,0,,,0,2024
1145,97,Oya,JPN,0,0,0,,,0,2024
1146,97,Dobrev,BUL,0,0,0,,,0,2024
1147,97,Bardarov,BUL,0,0,0,,,0,2024
1148,97,Planinšič,SLO,0,0,0,,,0,2024
1149,97,Zenger,GER,0,0,0,,,0,2024
1150,97,Porro P.,ITA,0,0,0,,,0,2024
1151,97,Cortesia,ITA,0,0,0,,,0,2024
1152,97,Rinaldi,ITA,0,0,0,,,0,2024
1153,97,Gaggini,ITA,0,0,0,,,0,2024
1154,97,Zatorski,POL,0,0,0,,,0,2024
1155,97,Falaschi,ITA,0,0,0,,,0,2024
1156,97,Gardini,ITA,0,0,0,,,0,2024
1157,97,Aslan,TUR,0,0,0,,,0,2024
1158,97,Schnitzer,CAN,0,0,0,,,0,2024
