,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average per match,Efficiency %,Total,Year
760,27,Toniutti,FRA,1,3,5,0.20,-22.22,9,2023
761,27,Janusz,POL,1,11,12,0.14,-41.67,24,2023
762,27,V. Bratoev,BUL,1,6,0,0.25,-71.43,7,2023
763,28,Bozhilov,BUL,0,0,0,,,0,2023
764,28,Dobrev,BUL,0,0,0,,,0,2023
765,28,Liu M.,CHN,0,1,3,0.00,-25.00,4,2023
766,28,Chen J.J.,CHN,0,0,0,,,0,2023
767,28,Qu Z.S.,CHN,0,0,0,,,0,2023
768,28,Zhang G.H.,CHN,0,1,0,0.00,-100.00,1,2023
769,28,Wang B.,CHN,0,4,1,0.00,-80.00,5,2023
770,28,Fukatsu,JPN,0,0,1,0.00,0.00,1,2023
771,28,Tomita,JPN,0,0,0,,,0,2023
772,28,Ogawa,JPN,0,0,0,,,0,2023
773,28,Yamamoto,JPN,0,0,0,,,0,2023
774,28,Kai,JPN,0,0,0,,,0,2023
775,28,Hazrat,IRI,0,0,0,,,0,2023
776,28,J.Manavi,IRI,0,1,4,0.00,-20.00,5,2023
777,28,Arman,IRI,0,0,0,,,0,2023
778,28,Falaschi,ITA,0,2,0,0.00,-100.00,2,2023
779,28,Balaso,ITA,0,0,0,,,0,2023
780,28,Recine,ITA,0,2,2,0.00,-50.00,4,2023
781,28,Gardini,ITA,0,0,0,,,0,2023
782,28,Cortesia,ITA,0,0,1,0.00,0.00,1,2023
783,28,Gironi,ITA,0,0,3,0.00,0.00,3,2023
784,28,Vitelli,ITA,0,3,3,0.00,-50.00,6,2023
785,28,Federici,ITA,0,0,0,,,0,2023
786,28,Sanchez Pages,ARG,0,10,2,0.00,-83.33,12,2023
787,28,Danani,ARG,0,0,0,,,0,2023
788,28,Zelayeta,ARG,0,0,0,,,0,2023
789,28,Hofer,CAN,0,5,2,0.00,-71.43,7,2023
790,28,Blankenau,CAN,0,1,0,0.00,-100.00,1,2023
791,28,Schnitzer,CAN,0,0,0,,,0,2023
792,28,Lui,CAN,0,0,0,,,0,2023
793,28,Currie,CAN,0,0,0,,,0,2023
794,28,Roman Garcia,CUB,0,0,0,,,0,2023
795,28,Goide,CUB,0,1,0,0.00,-100.00,1,2023
796,28,Gorguet,CUB,0,0,0,,,0,2023
797,28,Kök,SLO,0,3,1,0.00,-75.00,4,2023
798,28,Toman,SLO,0,0,0,,,0,2023
799,28,Bračko,SLO,0,0,0,,,0,2023
800,28,Štalekar,SLO,0,4,2,0.00,-66.67,6,2023
801,28,Koncilja,SLO,0,0,0,,,0,2023
802,28,Kovačič,SLO,0,0,0,,,0,2023
803,28,Kapur,SRB,0,0,0,,,0,2023
804,28,Gajović,SRB,0,0,0,,,0,2023
805,28,Krsteski,SRB,0,0,0,,,0,2023
806,28,Petrović,SRB,0,0,0,,,0,2023
807,28,Szymanski,POL,0,4,2,0.00,-66.67,6,2023
808,28,Szymura,POL,0,0,0,,,0,2023
809,28,Hawryluk,POL,0,0,0,,,0,2023
810,28,Sawicki,POL,0,0,5,0.00,0.00,5,2023
811,28,Poręba,POL,0,0,0,,,0,2023
812,28,Motta Paes,FRA,0,0,0,,,0,2023
813,28,Henry,FRA,0,0,0,,,0,2023
814,28,Pothron,FRA,0,0,0,,,0,2023
815,28,Diez,FRA,0,0,0,,,0,2023
816,28,Basic,FRA,0,0,0,,,0,2023
817,28,Henno,FRA,0,0,0,,,0,2023
818,28,Loubeyre,FRA,0,0,0,,,0,2023
819,28,Roehrig,FRA,0,0,0,,,0,2023
820,28,E. Shoji,USA,0,0,0,,,0,2023
821,28,Van Der Ent,NED,0,0,0,,,0,2023
822,28,Andringa,NED,0,0,0,,,0,2023
823,28,Bak,NED,0,0,0,,,0,2023
824,28,Wijkstra,NED,0,0,0,,,0,2023
825,28,Lipke,NED,0,0,0,,,0,2023
826,28,Fernando,BRA,0,4,9,0.00,-30.77,13,2023
827,28,Maique,BRA,0,0,0,,,0,2023
828,28,Thales,BRA,0,0,0,,,0,2023
829,28,Thiery,BRA,0,0,0,,,0,2023
830,28,Graven,GER,0,0,1,0.00,0.00,1,2023
831,28,Otsuka,JPN,0,5,4,0.00,-55.56,9,2023
832,28,Salehi,IRI,0,0,0,,,0,2023
833,28,Zimmermann,GER,0,1,0,0.00,-100.00,1,2023
834,28,Günthör,GER,0,0,0,,,0,2023
835,28,Dagostino,USA,0,0,0,,,0,2023
836,28,Tuaniga,USA,0,3,3,0.00,-50.00,6,2023
837,28,Mašulović N.,SRB,0,2,5,0.00,-28.57,7,2023
838,28,Giraudo,ARG,0,2,1,0.00,-66.67,3,2023
839,28,Mujanović,SLO,0,0,0,,,0,2023
840,28,Yang Y.M.,CHN,0,0,0,,,0,2023
841,28,Chen L.Y.,CHN,0,3,3,0.00,-50.00,6,2023
842,28,Salparov,BUL,0,0,0,,,0,2023
843,28,Raev,BUL,0,3,1,0.00,-75.00,4,2023
844,28,Scanferla,ITA,0,0,0,,,0,2023
845,28,Caneschi,ITA,0,1,1,0.00,-50.00,2,2023
846,28,Zatorski,POL,0,0,0,,,0,2023
847,28,Grebennikov,FRA,0,0,0,,,0,2023
848,28,Huetz,FRA,0,0,1,0.00,0.00,1,2023
849,28,Vaccari,BRA,0,0,0,,,0,2023
850,28,Piccinelli,ITA,0,0,0,,,0,2023
851,28,Sala,ITA,0,1,0,0.00,-100.00,1,2023
852,28,Larry,JPN,0,1,1,0.00,-50.00,2,2023
853,28,Rao S.H.,CHN,0,0,0,,,0,2023
854,28,Kovačević,SRB,0,0,1,0.00,0.00,1,2023
855,28,Podraščanin,SRB,0,0,0,,,0,2023
856,28,M.R.Moazzen,IRI,0,0,0,,,0,2023
857,28,A. Ramezani,IRI,0,4,3,0.00,-57.14,7,2023
858,28,A. Afshinfar,IRI,0,2,0,0.00,-100.00,2,2023
859,28,Popiwczak,POL,0,0,0,,,0,2023
860,28,Fromm,GER,0,6,8,0.00,-42.86,14,2023
861,28,K. Russell,USA,0,0,0,,,0,2023
862,28,Daneshdoust,IRI,0,0,0,,,0,2023
863,28,Nishiyama,JPN,0,1,0,0.00,-100.00,1,2023
864,28,Leal,BRA,0,1,0,0.00,-100.00,1,2023
865,1,Le Goff,FRA,34,51,53,2.27,-12.32,138,2024
866,1,Loser Bruno,ARG,34,59,47,2.62,-17.86,140,2024
867,2,Flavio,BRA,33,68,51,2.75,-23.03,152,2024
868,3,Zerba,ARG,30,47,52,2.31,-13.18,129,2024
869,4,Grozdanov,BUL,29,40,55,2.42,-8.87,124,2024
870,5,Kozamernik,SLO,26,68,64,1.73,-26.58,158,2024
871,5,Podraščanin,SRB,26,39,39,2.17,-12.50,104,2024
872,6,McCarthy,CAN,25,41,34,1.92,-16.00,100,2024
873,7,Concepcion,CUB,24,70,45,2.00,-33.09,139,2024
874,7,T. Štern,SLO,24,44,50,1.60,-16.95,118,2024
875,8,Simón,CUB,22,55,38,1.83,-28.70,115,2024
876,9,Lima B.,ARG,21,43,33,1.62,-22.68,97,2024
877,9,Thondike,CUB,21,27,28,1.75,-7.89,76,2024
878,9,Čebulj,SLO,21,36,23,1.40,-18.75,80,2024
879,9,Kochanowski,POL,21,33,25,1.40,-15.19,79,2024
880,10,Seddik,FRA,20,58,39,1.33,-32.48,117,2024
881,10,Mandıracı,TUR,20,31,27,1.82,-14.10,78,2024
882,10,Plak,NED,20,39,42,1.67,-18.81,101,2024
883,11,Onodera,JPN,19,48,45,1.27,-25.89,112,2024
884,11,Alan,BRA,19,25,29,1.46,-8.22,73,2024
885,11,Parkinson,NED,19,30,35,1.58,-13.10,84,2024
886,11,Galassi,ITA,19,21,33,2.38,-2.74,73,2024
887,12,Van Berkel,CAN,18,30,34,1.38,-14.63,82,2024
888,12,Maase,GER,18,41,58,1.50,-19.66,117,2024
889,12,Russo,ITA,18,28,28,2.25,-13.51,74,2024
890,12,Amin,IRI,18,39,35,1.50,-22.83,92,2024
891,13,Patry,FRA,17,29,31,1.13,-15.58,77,2024
892,13,Maar,CAN,17,50,39,1.31,-31.13,106,2024
893,13,Lopez,CUB,17,29,30,1.42,-15.79,76,2024
894,13,Mohammad,IRI,17,37,42,1.42,-20.83,96,2024
895,14,S. Nikolov,BUL,16,25,24,1.33,-13.85,65,2024
896,14,Bedirhan,TUR,16,47,52,1.33,-26.96,115,2024
897,14,Pajenk,SLO,16,47,67,1.14,-23.85,130,2024
898,15,Louati,FRA,15,36,21,1.00,-29.17,72,2024
899,15,Yant,CUB,15,38,35,1.25,-26.14,88,2024
900,15,Van Garderen,NED,15,32,20,1.25,-25.37,67,2024
901,15,Michieletto,ITA,15,15,19,1.88,0.00,49,2024
902,15,Moslehabadi,IRI,15,33,22,1.36,-25.71,70,2024
903,15,Fornal,POL,15,22,13,1.36,-14.00,50,2024
904,16,Szwarc,CAN,14,31,44,1.08,-19.10,89,2024
905,16,Janusz,POL,14,8,19,1.40,14.63,41,2024
906,17,Yamauchi,JPN,13,40,40,0.87,-29.03,93,2024
907,17,Darlan,BRA,13,35,29,1.00,-28.57,77,2024
908,17,Milad,IRI,13,38,26,1.08,-32.47,77,2024
909,17,Nedeljković,SRB,13,31,54,1.08,-18.37,98,2024
910,17,Ishikawa,JPN,13,22,30,1.18,-13.85,65,2024
911,17,Holt,USA,13,22,24,1.86,-15.25,59,2024
912,18,Matić,TUR,12,35,19,1.00,-34.85,66,2024
913,18,Güneş,TUR,12,20,38,1.00,-11.43,70,2024
914,18,Giannelli,ITA,12,15,27,1.50,-5.56,54,2024
915,19,Clevenot,FRA,11,25,18,0.79,-25.93,54,2024
916,19,Gürbüz,TUR,11,21,20,0.92,-19.23,52,2024
917,19,Loeppky,CAN,11,32,36,0.85,-26.58,79,2024
918,19,Conte,ARG,11,31,21,0.85,-31.75,63,2024
919,19,Kentaro,JPN,11,29,31,0.79,-25.35,71,2024
920,19,Lucas,BRA,11,33,39,1.00,-26.51,83,2024
921,19,Mosca,ITA,11,24,14,2.20,-26.53,49,2024
922,20,Petkov,BUL,10,23,38,0.83,-18.31,71,2024
923,20,Herr,CAN,10,22,27,0.77,-20.34,59,2024
924,20,Palonsky,ARG,10,26,19,0.77,-29.09,55,2024
925,20,Nishida,JPN,10,27,29,0.67,-25.76,66,2024
926,20,Lucarelli,BRA,10,30,15,0.91,-36.36,55,2024
927,20,Keemink,NED,10,24,19,0.83,-26.42,53,2024
928,20,Bednorz,POL,10,15,5,0.71,-16.67,30,2024
929,20,Poręba,POL,10,10,5,1.25,0.00,25,2024
930,20,Romanò,ITA,10,21,24,1.25,-20.00,55,2024
931,21,Asparuhov,BUL,9,27,23,0.75,-30.51,59,2024
932,21,Tatarov,BUL,9,34,26,0.75,-36.23,69,2024
933,21,A. Lagumdzija,TUR,9,11,17,0.75,-5.41,37,2024
934,21,M. Lagumdzija,TUR,9,23,15,0.75,-29.79,47,2024
935,21,De Cecco,ARG,9,25,27,0.69,-26.23,61,2024
936,21,Vicentin,ARG,9,16,8,0.69,-21.21,33,2024
937,21,Nimir,NED,9,29,23,0.75,-32.79,61,2024
938,21,Huber,POL,9,30,20,0.82,-35.59,59,2024
939,21,Averill,USA,9,20,20,1.12,-22.45,49,2024
940,22,Leal,BRA,8,33,20,0.73,-40.98,61,2024
941,22,Vadi,IRI,8,30,33,0.67,-30.99,71,2024
942,22,Jovović,SRB,8,21,15,0.67,-29.55,44,2024
943,22,Krick,GER,8,18,18,1.00,-22.73,44,2024
944,22,Kaczmarek,POL,8,13,9,1.00,-16.67,30,2024
945,22,Jendryk,USA,8,19,27,1.00,-20.37,54,2024
946,23,Tillie,FRA,7,16,20,0.47,-20.93,43,2024
947,23,Brizard,FRA,7,15,15,0.47,-21.62,37,2024
948,23,Eshenko,CAN,7,17,22,0.58,-21.74,46,2024
949,23,Demyanenko,CAN,7,16,24,0.54,-19.15,47,2024
950,23,Wiltenburg,NED,7,18,10,0.58,-31.43,35,2024
951,23,Krage,GER,7,27,18,0.58,-38.46,52,2024
952,23,Jelveh,IRI,7,24,19,0.58,-34.00,50,2024
953,23,Salehi,IRI,7,9,9,0.64,-8.00,25,2024
954,23,Morteza,IRI,7,16,6,0.64,-31.03,29,2024
955,23,Mašulović N.,SRB,7,13,16,0.58,-16.67,36,2024
956,23,Luburić,SRB,7,18,23,0.58,-22.92,48,2024
957,23,Judson,BRA,7,17,13,1.00,-27.03,37,2024
958,23,Jouffroy,FRA,7,15,13,0.54,-22.86,35,2024
959,23,Karlitzek,GER,7,16,10,0.88,-27.27,33,2024
960,23,Anderson,USA,7,17,20,0.88,-22.73,44,2024
961,23,Defalco,USA,7,18,19,0.88,-25.00,44,2024
962,23,Leon,POL,7,8,3,1.00,-5.56,18,2024
963,23,Bieniek,POL,7,22,15,1.17,-34.09,44,2024
964,24,Karyagin,BUL,6,7,13,0.50,-3.85,26,2024
965,24,Savaş,TUR,6,5,10,0.55,4.76,21,2024
966,24,Masso,CUB,6,19,12,0.50,-35.14,37,2024
967,24,Ropret,SLO,6,28,40,0.40,-29.73,74,2024
968,24,Urnaut,SLO,6,43,17,0.40,-56.06,66,2024
969,24,Śliwka,POL,6,14,8,0.43,-28.57,28,2024
970,24,Kujundžić,SRB,6,16,12,0.50,-29.41,34,2024
971,24,Kurek,POL,6,15,10,0.60,-29.03,31,2024
972,24,Kłos,POL,6,9,12,1.00,-11.11,27,2024
973,24,Christenson,USA,6,26,26,0.75,-34.48,58,2024
974,25,Ngapeth,FRA,5,2,3,0.83,30.00,10,2024
975,25,Mergarejo,CUB,5,12,10,0.42,-25.93,27,2024
976,25,Štalekar,SLO,5,17,14,0.33,-33.33,36,2024
977,25,Gasman,USA,5,13,13,1.25,-25.81,31,2024
978,25,Brand,GER,5,16,22,0.42,-25.58,43,2024
979,25,Lavia,ITA,5,21,15,0.62,-39.02,41,2024
980,25,Poriya,IRI,5,13,16,0.42,-23.53,34,2024
981,25,Kovačević,SRB,5,16,11,0.42,-34.38,32,2024
982,25,Perić,SRB,5,11,10,0.42,-23.08,26,2024
983,25,Smith,USA,5,4,17,0.71,3.85,26,2024
984,25,Jorna,NED,5,11,7,0.62,-26.09,23,2024
985,26,Dimitrov,BUL,4,16,14,0.33,-35.29,34,2024
986,26,Bultor,FRA,4,14,11,0.33,-34.48,29,2024
987,26,Faure,FRA,4,23,20,0.27,-40.43,47,2024
988,26,Bayram,TUR,4,15,17,0.33,-30.56,36,2024
989,26,Kukartsev,ARG,4,7,9,0.31,-15.00,20,2024
990,26,Fernando,BRA,4,24,30,0.31,-34.48,58,2024
991,26,Ter Horst,NED,4,6,3,1.00,-15.38,13,2024
992,26,Hanes,USA,4,5,9,0.57,-5.56,18,2024
993,26,Kessel,USA,4,13,12,0.67,-31.03,29,2024
994,26,Ewert,USA,4,15,8,0.50,-40.74,27,2024
995,26,Komenda,POL,4,1,1,0.67,50.00,6,2024
996,26,Semeniuk,POL,4,17,19,0.29,-32.50,40,2024
997,26,Böhme,GER,4,5,8,0.50,-5.88,17,2024
998,26,Sanguinetti,ITA,4,16,15,0.31,-34.29,35,2024
999,26,Krsmanović,SRB,4,19,16,0.33,-38.46,39,2024
1000,26,Ivović,SRB,4,14,19,0.33,-27.03,37,2024
1001,26,Todorović,SRB,4,2,5,0.33,18.18,11,2024
1002,26,Ensing,USA,4,5,12,0.50,-4.76,21,2024
1003,27,Toniutti,FRA,3,7,11,0.20,-19.05,21,2024
1004,27,Ekşi,TUR,3,0,4,0.75,42.86,7,2024
1005,27,Yenipazar,TUR,3,14,33,0.25,-22.00,50,2024
1006,27,Sekita,JPN,3,17,22,0.21,-33.33,42,2024
1007,27,Tomita,JPN,3,4,6,0.23,-7.69,13,2024
1008,27,Larry,JPN,3,10,18,0.20,-22.58,31,2024
1009,27,Alonso,CUB,3,9,8,0.25,-30.00,20,2024
1010,27,Isac,BRA,3,14,19,0.27,-30.56,36,2024
1011,27,Mauricio,BRA,3,7,4,0.25,-28.57,14,2024
1012,27,Koops,NED,3,6,3,0.25,-25.00,12,2024
1013,27,Ter Maat,NED,3,7,14,0.25,-16.67,24,2024
1014,27,Knigge,USA,3,11,14,0.60,-28.57,28,2024
1015,27,Reichert,GER,3,10,12,0.38,-28.00,25,2024
1016,27,Bovolenta,ITA,3,13,21,0.23,-27.03,37,2024
1017,27,Grozer,GER,3,7,16,0.38,-15.38,26,2024
1018,27,Ran,JPN,3,13,7,0.60,-43.48,23,2024
1019,27,Russell,USA,3,3,6,0.75,0.00,12,2024
1020,28,Chinenyeze,FRA,2,7,4,1.00,-38.46,13,2024
1021,28,Wassenaar Ketrzynski,CAN,2,6,15,0.15,-17.39,23,2024
1022,28,Ramos,ARG,2,23,13,0.15,-55.26,38,2024
1023,28,Fukatsu,JPN,2,1,15,0.13,5.56,18,2024
1024,28,Miyaura,JPN,2,23,18,0.13,-48.84,43,2024
1025,28,Otsuka,JPN,2,13,14,0.15,-37.93,29,2024
1026,28,Sánchez B.,CUB,2,30,29,0.17,-45.90,61,2024
1027,28,Van Der Ent,NED,2,6,3,0.17,-36.36,11,2024
1028,28,Mujanović,SLO,2,3,5,0.13,-10.00,10,2024
1029,28,Garcia,USA,2,4,3,0.50,-22.22,9,2024
1030,28,Isaacson,USA,2,1,5,0.50,12.50,8,2024
1031,28,Butryn,POL,2,4,5,0.50,-18.18,11,2024
1032,28,Adamczyk,POL,2,4,1,0.50,-28.57,7,2024
1033,28,Jakubiszak,POL,2,4,2,0.50,-25.00,8,2024
1034,28,Fromm,GER,2,8,8,0.17,-33.33,18,2024
1035,28,Zimmermann,GER,2,8,14,0.29,-25.00,24,2024
1036,28,Porro L.,ITA,2,14,10,0.15,-46.15,26,2024
1037,28,L. Bergmann,BRA,2,3,5,0.22,-10.00,10,2024
1038,28,Carle,FRA,2,5,5,0.15,-25.00,12,2024
1039,28,Brehme,GER,2,16,13,0.50,-45.16,31,2024
1040,28,Bottolo,ITA,2,13,10,0.40,-44.00,25,2024
1041,29,Valchinov,BUL,1,6,2,0.09,-55.56,9,2024
1042,29,Subaşı,TUR,1,5,2,0.33,-50.00,8,2024
1043,29,Walsh,CAN,1,0,0,0.08,100.00,1,2024
1044,29,Sanchez Pages,ARG,1,2,6,0.08,-11.11,9,2024
1045,29,Gallego,ARG,1,3,1,0.08,-40.00,5,2024
1046,29,Palacios,ARG,1,4,4,0.08,-33.33,9,2024
1047,29,Kai,JPN,1,14,10,0.07,-52.00,25,2024
1048,29,Bruno,BRA,1,6,13,0.14,-25.00,20,2024
1049,29,Wetter,USA,1,2,0,0.25,-33.33,3,2024
1050,29,Szalpuk,POL,1,3,7,0.25,-18.18,11,2024
1051,29,Bołądź,POL,1,9,13,0.10,-34.78,23,2024
1052,29,John,GER,1,5,3,0.25,-44.44,9,2024
1053,29,Recine,ITA,1,5,3,0.08,-44.44,9,2024
1054,29,Sbertoli,ITA,1,7,7,0.08,-40.00,15,2024
1055,29,Anzani,ITA,1,7,11,0.12,-31.58,19,2024
1056,29,Nasri,IRI,1,1,2,0.12,0.00,4,2024
1057,29,Atanasijević,SRB,1,8,8,0.08,-41.18,17,2024
1058,29,Aydin,TUR,1,1,1,0.10,0.00,3,2024
1059,29,Kampa,GER,1,10,8,0.12,-47.37,19,2024
1060,29,Schott,GER,1,7,13,0.12,-28.57,21,2024
1061,29,Firlej,POL,1,3,3,0.25,-28.57,7,2024
1062,29,Ma'a,USA,1,2,3,0.12,-16.67,6,2024
1063,29,Jaeschke,USA,1,8,3,0.25,-58.33,12,2024
1064,29,Muagututia,USA,1,6,10,0.12,-29.41,17,2024
1065,29,Bostan,TUR,1,2,3,0.12,-16.67,6,2024
1066,30,Kolev,BUL,0,2,3,0.00,-40.00,5,2024
1067,30,Garkov,BUL,0,1,0,0.00,-100.00,1,2024
1068,30,Bozhilov,BUL,0,0,0,,,0,2024
1069,30,D. Kolev,BUL,0,0,0,,,0,2024
1070,30,Telkiyski,BUL,0,0,0,,,0,2024
1071,30,Nachev,BUL,0,0,2,0.00,0.00,2,2024
1072,30,Grebennikov,FRA,0,0,0,,,0,2024
1073,30,Diez,FRA,0,0,0,,,0,2024
1074,30,Döne,TUR,0,0,0,,,0,2024
1075,30,Hatipoğlu,TUR,0,0,0,,,0,2024
1076,30,Hoag,CAN,0,3,0,0.00,-100.00,3,2024
1077,30,Barnes,CAN,0,1,0,0.00,-100.00,1,2024
1078,30,Lui,CAN,0,0,0,,,0,2024
1079,30,Currie,CAN,0,0,0,,,0,2024
1080,30,Martinez Franchi,ARG,0,9,5,0.00,-64.29,14,2024
1081,30,Danani,ARG,0,0,0,,,0,2024
1082,30,Takanashi,JPN,0,1,0,0.00,-100.00,1,2024
1083,30,Ogawa,JPN,0,0,0,,,0,2024
1084,30,Yamamoto,JPN,0,0,0,,,0,2024
1085,30,Roman Garcia,CUB,0,0,0,,,0,2024
1086,30,Taboada,CUB,0,1,1,0.00,-50.00,2,2024
1087,30,Camino,CUB,0,0,0,,,0,2024
1088,30,Gorguet,CUB,0,0,0,,,0,2024
1089,30,Charles,CUB,0,0,0,,,0,2024
1090,30,Adriano,BRA,0,6,9,0.00,-40.00,15,2024
1091,30,Honorato,BRA,0,0,0,,,0,2024
1092,30,Thales,BRA,0,0,0,,,0,2024
1093,30,Arthur,BRA,0,0,0,,,0,2024
1094,30,Klok,NED,0,0,0,,,0,2024
1095,30,Andringa,NED,0,0,0,,,0,2024
1096,30,De Weijer,NED,0,0,1,0.00,0.00,1,2024
1097,30,Bak,NED,0,0,0,,,0,2024
1098,30,Toman,SLO,0,0,0,,,0,2024
1099,30,Bračko,SLO,0,2,2,0.00,-50.00,4,2024
1100,30,Vinčić,SLO,0,0,0,,,0,2024
1101,30,Kovačič,SLO,0,0,0,,,0,2024
1102,30,Z. Štern,SLO,0,0,1,0.00,0.00,1,2024
1103,30,Kržič,SLO,0,0,0,,,0,2024
1104,30,Dagostino,USA,0,0,0,,,0,2024
1105,30,Tuaniga,USA,0,7,5,0.00,-58.33,12,2024
1106,30,Briggs,USA,0,0,0,,,0,2024
1107,30,Wildman,USA,0,0,0,,,0,2024
1108,30,Champlin,USA,0,5,3,0.00,-62.50,8,2024
1109,30,Marshman,USA,0,2,2,0.00,-50.00,4,2024
1110,30,Łomacz,POL,0,3,6,0.00,-33.33,9,2024
1111,30,Hawryluk,POL,0,0,0,,,0,2024
1112,30,Szymura,POL,0,0,0,,,0,2024
1113,30,Graven,GER,0,0,0,,,0,2024
1114,30,Kaliberda,GER,0,4,5,0.00,-44.44,9,2024
1115,30,Kunstmann,GER,0,0,0,,,0,2024
1116,30,Peter,GER,0,0,0,,,0,2024
1117,30,Goralik,GER,0,1,0,0.00,-100.00,1,2024
1118,30,Burggräf,GER,0,0,0,,,0,2024
1119,30,Balaso,ITA,0,0,0,,,0,2024
1120,30,Laurenzano,ITA,0,0,0,,,0,2024
1121,30,Hazrat,IRI,0,0,0,,,0,2024
1122,30,Javad,IRI,0,0,2,0.00,0.00,2,2024
1123,30,Arman,IRI,0,0,0,,,0,2024
1124,30,Barbast,IRI,0,5,3,0.00,-62.50,8,2024
1125,30,Kapur,SRB,0,0,0,,,0,2024
1126,30,Ristić,SRB,0,0,0,,,0,2024
1127,30,Marovt,SLO,0,0,0,,,0,2024
1128,30,Tille,GER,0,4,11,0.00,-26.67,15,2024
1129,30,Popiwczak,POL,0,0,0,,,0,2024
1130,30,Petrov,BUL,0,2,1,0.00,-66.67,3,2024
1131,30,Stankov,BUL,0,0,2,0.00,0.00,2,2024
1132,30,Kartev,BUL,0,0,0,,,0,2024
1133,30,Esfandiar,IRI,0,1,0,0.00,-100.00,1,2024
1134,30,E. Shoji,USA,0,0,0,,,0,2024
1135,30,Hofer,CAN,0,0,0,,,0,2024
1136,30,Meijs,NED,0,4,2,0.00,-66.67,6,2024
1137,30,Ahyi,NED,0,1,3,0.00,-25.00,4,2024
1138,30,Matheus G.,BRA,0,0,0,,,0,2024
1139,30,Sadati,IRI,0,0,0,,,0,2024
1140,30,Oya,JPN,0,0,0,,,0,2024
1141,30,Antov,BUL,0,3,5,0.00,-37.50,8,2024
1142,30,Dobrev,BUL,0,0,0,,,0,2024
1143,30,Bardarov,BUL,0,0,0,,,0,2024
1144,30,Planinšič,SLO,0,0,0,,,0,2024
1145,30,Zenger,GER,0,0,0,,,0,2024
1146,30,Arshia,IRI,0,2,0,0.00,-100.00,2,2024
1147,30,Porro P.,ITA,0,0,0,,,0,2024
1148,30,Cortesia,ITA,0,0,0,,,0,2024
1149,30,Gironi,ITA,0,5,2,0.00,-71.43,7,2024
1150,30,Rinaldi,ITA,0,0,0,,,0,2024
1151,30,Gaggini,ITA,0,0,0,,,0,2024
1152,30,Caneschi,ITA,0,3,1,0.00,-75.00,4,2024
1153,30,Zatorski,POL,0,0,0,,,0,2024
1154,30,Možič,SLO,0,1,0,0.00,-100.00,1,2024
1155,30,Falaschi,ITA,0,1,0,0.00,-100.00,1,2024
1156,30,Gardini,ITA,0,0,0,,,0,2024
1157,30,Aslan,TUR,0,0,0,,,0,2024
1158,30,Schnitzer,CAN,0,0,0,,,0,2024
